College Name,University Name,Email Domain,Location,Abbreviation,Website URL,College Code
IIT Delhi,Indian Institute of Technology,iitdelhi.edu,New Delhi,IITD,https://iitd.ac.in,iit-d
IIT Bombay,Indian Institute of Technology,iitbombay.edu,Mumbai,IITB,https://iitb.ac.in,iit-b
IIT Madras,Indian Institute of Technology,iitmadras.edu,Chennai,IITM,https://iitm.ac.in,iit-m
Delhi University,University of Delhi,du.edu,New Delhi,DU,https://du.ac.in,du
BITS Pilani,Birla Institute of Technology and Science,bits-pilani.edu,Pilani,BITS,https://bits-pilani.ac.in,bits-p
BITS Hyderabad,Birla Institute of Technology and Science,bits-hyderabad.edu,Hyderabad,BITSH,https://bits-hyderabad.ac.in,bits-h
NIT Trichy,National Institute of Technology,nitt.edu,Tiruchirappalli,NITT,https://nitt.edu,nit-t
NIT Warangal,National Institute of Technology,nitw.edu,Warangal,NITW,https://nitw.ac.in,nit-w
VIT Vellore,Vellore Institute of Technology,vit.edu,Vellore,VIT,https://vit.ac.in,vit-v
Manipal Institute of Technology,Manipal Academy of Higher Education,manipal.edu,Manipal,MIT,https://manipal.edu,mit-m
